785285004687511600,"Frankie471","Mon Oct 10 01:05:09 +0000 2016","RT @MensHumor: Greatest video on the internet

https://t.co/xMEc4maypG"
785285046634545200,"DebbiRabalais","Mon Oct 10 01:05:19 +0000 2016","@ABCPolitics Beauty in light of tragedy. #PraisingGod #PrayersForHaiti"
785285075977908200,"nagomitea","Mon Oct 10 01:05:26 +0000 2016","RT @barimor_d: БААААКААААА https://t.co/bs6e2lor3X"
785285084387561500,"SF2bot","Mon Oct 10 01:05:28 +0000 2016","JamMasterJay「P90はNSW」"
785285088548364300,"ashlyn_b_11","Mon Oct 10 01:05:29 +0000 2016","RT @gxbrielanicole: 7. I can't believe you've done this https://t.co/ec3Z9ZKmvx"
785285159872409600,"Yaelone_","Mon Oct 10 01:05:46 +0000 2016","😩 https://t.co/sBxicepMwO"
785285185042456600,"booklist10","Mon Oct 10 01:05:52 +0000 2016","RT @lession5: Hollywood's Most Common Movie Myths Debunked
https://t.co/Qn9Op7OM2V"
785285214373154800,"eilanyalove","Mon Oct 10 01:05:59 +0000 2016","RT @Strangestone: 月曜日のたわわ　その８６　
「ちゃんとこっちも見てくださいね？」 
https://t.co/hpZ44A0JtT https://t.co/ONJc4dRoqZ"
785285222799597600,"vee_cooper","Mon Oct 10 01:06:01 +0000 2016","RT @_sherrrXo: NYG vs GB 🏈"
785285226993823700,"rizaflor1130","Mon Oct 10 01:06:02 +0000 2016","RT @marisse0716: ung third Photo huhuhuhu bibis ❤️❤️❤️ #ALDUBYouALWAYS https://t.co/CGO0gwshNu"
785285264704954400,"MariaDoloari","Mon Oct 10 01:06:11 +0000 2016","RT @RobertoBonafont: Hay noches que parecen estar marcadas para extrañarte.(Toto)"
785285281494753300,"dscv_","Mon Oct 10 01:06:15 +0000 2016","RT @Vale_Cruz0312: Yo cuando estoy celosa u_u. https://t.co/Ntlh1NYZjr"
785285298297135100,"Corbenrobbins","Mon Oct 10 01:06:19 +0000 2016","RT @Jared_Whitaker2: 👅👅👅 you're my favorite person from clinch but mad at u cause I still haven't got my grad gift😂"
785285340231794700,"behemotbehemoth","Mon Oct 10 01:06:29 +0000 2016","粟田口兄弟の数の数え方皆いち兄が大好き！ https://t.co/AxuukjLGQJ"
785285394732429300,"Yoplin","Mon Oct 10 01:06:42 +0000 2016","What???!!!"
785285424109551600,"RightGlockMom","Mon Oct 10 01:06:49 +0000 2016",".@sallykohn Maybe because they are ""undecided""?  After all, you claim D's have minorities locked up, right? Why the surprise? #debate"
785285554128588800,"chyblizzy","Mon Oct 10 01:07:20 +0000 2016","@Jasminealexis00 obviously"
785285625440247800,"girl_chimera","Mon Oct 10 01:07:37 +0000 2016","QUERO UM MV DE 21 CENTURY GIRL, POR FAVOOOR #btsbrfm"
785285780608430100,"nanebermudeza","Mon Oct 10 01:08:14 +0000 2016","RT @VSAngelsBrasil: Moms 💗 https://t.co/qleR0md0U1"
785285801579978800,"SavannaAllstar","Mon Oct 10 01:08:19 +0000 2016","So happy I got to spend today with my best frannnddd @Faiths_flow https://t.co/IjeI6kbXlp"
785285805799575600,"JoeyGotBored","Mon Oct 10 01:08:20 +0000 2016","@ChellyzBelly That moment when all the champs on that match were females."
785285805770104800,"MLEA_Prez","Mon Oct 10 01:08:20 +0000 2016","Well, that was a remarkably bloodless answer. BOO! KILL KILL KILL! I CAME FOR THE RHETORICAL VIOLENCE! #debates"
785285814158667800,"yamazawajiko","Mon Oct 10 01:08:22 +0000 2016","机の中に唐揚げ！？
信じられない様ないじめが
現実に起こっているそうです。
→　https://t.co/9kSfGxS9fY"
785285973580062700,"martha2275","Mon Oct 10 01:09:00 +0000 2016","@MashiRafael IMPRESIONANTE Y MUY REAL  👏👏 EN NINGÚN OTRO GOBIERNO JAMÁS SE LE HA DADO TANTA IMPORTANCIA A LA MUJER COMO EN EL DE LA RC..💪💙💚"
785286007126011900,"phatsawat","Mon Oct 10 01:09:08 +0000 2016","RT @fernnnfernnfern: ขำคลิปพี่ลูกกรอกโดนพ่อพูดตัดหน้า

ลก: ส่งน้องเรีย..
พ่อ: ขวัญเขาส่งพี่เรียน

พี่ลูกกรอกหน้าหุบไปเลย

โป๊ะ5555555555
 #…"
