788909634790785000,"jakehumpert","Thu Oct 20 01:08:08 +0000 2016","RT @realDonaldTrump: I will be handing over my Twitter account to my team of deplorables for tonight's #debate
#MakeAmericaGreatAgain"
788909730857095200,"jagmanss194","Thu Oct 20 01:08:31 +0000 2016","RT @realDonaldTrump: I will be handing over my Twitter account to my team of deplorables for tonight's #debate
#MakeAmericaGreatAgain"
788909765384515600,"marithinks","Thu Oct 20 01:08:39 +0000 2016","#Trump prepares #restingbitchface #Debates"
788909796980392000,"MYanikoski","Thu Oct 20 01:08:47 +0000 2016","#Trump looks like Gordon in Thomas the tank engine"
788909876646907900,"ivanarazapa","Thu Oct 20 01:09:06 +0000 2016","#Clinton y #Trump inician una nueva escena, en esta obra de teatro americano. Broadway, Hollywood. Finalmente son los reyes del espectáculo"
788909967801655300,"protopleb","Thu Oct 20 01:09:28 +0000 2016","RT @WDFx2EU7: #Trump is going to give @HillaryClinton a helicopter ride tonight #debatenight https://t.co/cwsFMg1K0c"
788909980774654000,"boogerdigger","Thu Oct 20 01:09:31 +0000 2016","#Trump answering questions about the Supreme Court right now...#debatenight  https://t.co/chQQRu57lL"
788910029562839000,"TonyCarterFilms","Thu Oct 20 01:09:42 +0000 2016","Damn #trump first answer and it's all about him!  #debatenight"
788910043743805400,"SMArikat","Thu Oct 20 01:09:46 +0000 2016","#Trump rambling on about how #SCOTUS should be on his side. #debate https://t.co/dcN9GqxVoN"
788910069295427600,"xiaolinstyle","Thu Oct 20 01:09:52 +0000 2016","Not even 2 minutes in and he's already made it all about him #trump"
788910090090872800,"MissyCombs38","Thu Oct 20 01:09:57 +0000 2016","#debatenight everything in #crookedHillary opening statement was opposite in her emails. #HillaryClinton #lyingtongue"
788910140355260400,"BBCRajiniV","Thu Oct 20 01:10:09 +0000 2016","#Trump - Justices I will appoint will be pro-life,and will uphold the second amendment, and have a conservative bent #debate #SupremeCourt"
788910206788919300,"sargent314","Thu Oct 20 01:10:25 +0000 2016","Whoa! When #Trump said crude "" Grab them"" comment, maybe he meant by the throat. He has a vagina neck?"
788910333742035000,"cindywiesner","Thu Oct 20 01:10:55 +0000 2016","Sexual predator #Trump playing the victim, trying to deflect #GOPHandsOffMe #DebateNight"
788910337403723800,"ltemme1993","Thu Oct 20 01:10:56 +0000 2016","When I look at #trump on the split screen when #clinton is talking it looks like he's staring at himself in the mirror. #nevertrump"
788910409998798800,"jadbeavis","Thu Oct 20 01:11:13 +0000 2016","RT @quinncy: Word salad, hurt feelings, all about me, 2nd Amendment. #trump #debate"
788910422032212000,"Obacalypse","Thu Oct 20 01:11:16 +0000 2016","RT @GlennaOn10: #Trump advisor, former #DIA director Gen. Michael Flynn : #Trump is honest &amp; #media is not
#Debates2016 @WPLGLocal10 https:…"
788910493520068600,"KeyElementsGrp","Thu Oct 20 01:11:33 +0000 2016","#Trump calls out #Ginsburg's criticism of his, er, unique campaign. On our #debate live blog:… https://t.co/xIYxeMxAfM"
788910514386731000,"Lamhfada","Thu Oct 20 01:11:38 +0000 2016","#Trump must be sick #debatenight #debate https://t.co/eEmsj2OoAE"
